Color	GeneOfInterest	HighConfidence	incoming	MultiVariant	name	protein_name	selected	shared name	TopVariant
gray	N	N	N	N	ENSP00000387535	IRGQ	False	ENSP00000387535	N
gray	N	N	N	N	ENSP00000378368	FLOT2	False	ENSP00000378368	N
gray	N	N	N	N	ENSP00000419970	POR	False	ENSP00000419970	N
gray	N	N	N	N	ENSP00000391669	BCAR1	False	ENSP00000391669	N
gray	N	N	N	N	ENSP00000360576	NDOR1	False	ENSP00000360576	N
gray	N	N	N	N	ENSP00000387261	PSTPIP2	False	ENSP00000387261	N
gray	N	N	N	N	ENSP00000482609		False	ENSP00000482609	N
orange	N	Y	ENSG00000175356	N	ENSP00000310658	SCUBE2	False	ENSP00000310658	Y
gray	N	N	N	N	ENSP00000267257	PXN	False	ENSP00000267257	N
blue	N	N	ENSG00000184292	N	ENSP00000360269	TACSTD2	False	ENSP00000360269	N
gray	N	N	N	N	ENSP00000367913	FAM47C	False	ENSP00000367913	N
gray	N	N	N	N	ENSP00000369689	CALML5	False	ENSP00000369689	N
gray	N	N	N	N	ENSP00000378702	BRD2	False	ENSP00000378702	N
green	N	Y	ENSG00000171813	Y	ENSP00000306324	PWWP2B	False	ENSP00000306324	N
gray	N	N	N	N	ENSP00000338207	LMO1	False	ENSP00000338207	N
orange	N	Y	ENSG00000157322	N	ENSP00000484176	CLEC18A	False	ENSP00000484176	Y
gray	N	N	N	N	ENSP00000444052	CES4A	False	ENSP00000444052	N
gray	N	N	N	N	ENSP00000454407	GOLGA6L2	False	ENSP00000454407	N
gray	N	N	N	N	ENSP00000315299	CALML3	False	ENSP00000315299	N
gray	N	N	N	N	ENSP00000258662	NUDT15	False	ENSP00000258662	N
gray	N	N	N	N	ENSP00000341189	PTK2	False	ENSP00000341189	N
gray	N	N	N	N	ENSP00000409581	ARRB1	False	ENSP00000409581	N
gray	N	N	N	N	ENSP00000376345	GRB2	False	ENSP00000376345	N
gray	N	N	N	N	ENSP00000343248	SBK1	False	ENSP00000343248	N
gray	N	N	N	N	ENSP00000431284	LPXN	False	ENSP00000431284	N
gray	N	N	N	N	ENSP00000376077	SUMO1	False	ENSP00000376077	N
gray	N	N	N	N	ENSP00000391601	PEX5	False	ENSP00000391601	N
green	N	Y	ENSG00000146757	Y	ENSP00000332595	ZNF92	False	ENSP00000332595	N
gray	N	N	N	N	ENSP00000265171	EGF	False	ENSP00000265171	N
gray	N	N	N	N	ENSP00000375656	ZNF816-ZNF321P	False	ENSP00000375656	N
orange	N	Y	ENSG00000140876	N	ENSP00000268533	NUDT7	False	ENSP00000268533	Y
gray	N	N	N	N	ENSP00000399970	PPP2R2D	False	ENSP00000399970	N
gray	N	N	N	N	ENSP00000433528	DENND2B	False	ENSP00000433528	N
gray	N	N	N	N	ENSP00000293217	ACOX1	False	ENSP00000293217	N
gray	N	N	N	N	ENSP00000258083	PRADC1	False	ENSP00000258083	N
gray	N	N	N	N	ENSP00000226279	CD38	False	ENSP00000226279	N
gray	N	N	N	N	ENSP00000309591	PRKACA	False	ENSP00000309591	N
gray	N	N	N	N	ENSP00000333984	TRDN	False	ENSP00000333984	N
gray	N	N	N	N	ENSP00000301761	SDHAF2	False	ENSP00000301761	N
gray	N	N	N	N	ENSP00000220003	CSK	False	ENSP00000220003	N
gray	N	N	N	N	ENSP00000281146	C4orf33	False	ENSP00000281146	N
gray	N	N	N	N	ENSP00000443130	None	False	ENSP00000443130	N
gray	N	N	N	N	ENSP00000355533	RYR2	False	ENSP00000355533	N
